country,code,frenchCountry,score,title,type,format,secteur,coordX,coordY,logo,when,where,who,url,img,what
France,FR,France,9,Fake News Live ,Game ,Game ,,,,https://yt3.ggpht.com/a-/AN66SAxEa_OAqIjYUw-XzSsYl81dZnsG74_Cz4s1Iw=s288-mo-c-c0xffffffff-rj-k-no ,08/09/18,France ,"Aymeric d\""Afflon (Ulule.com) ",https://www.youtube.com/watch?v=ozpDxrf9fI0 ,https://img.ulule.com/display/9a38694139805aaf5aaa3e396b61defe2980a4b6/thumbnail/640x360/presales/3/3/8/75833/fnews_banniere_ulule_big.yrFd8V3mLbZW.jpg?upscale=1 ,"Le FUN MODE : c\""est notre version originale, dans laquelle vous pouvez annoncer les News les plus farfelues. On se concentre sur l\""impro collective, l\""?coute et l\""humour. Le ou la R?dac Chef joue et peut aussi intervenir pour r?guler la partie.Le SERIOUS GAME MODE : dans lequel le ou la R?dacteur en Chef d?cide du niveau de qualit? et de v?racit? des nouvelles annonc?es par les pr?sentateurs et pr?sentatrices. Il peut refuser, r?futer, et exiger une reformulation plus pr?cise, voire demander vos sources et les v?rifier sans d?lai sur le web. "
Netherlands,NL,Pays-Bas,1,Bad News ,Game ,Game ,,,,https://www.getbadnews.com/wp-content/themes/getbadnews/static/assets/logo-mobile.png ,21/02/18,Pays-bas ,Cambridge Social Decision ,https://getbadnews.com/#intro ,https://cdn.vox-cdn.com/thumbor/5vjZAYmPtADiwYFj-xzMt_np_aw=/0x0:1043x681/920x613/filters:focal(456x224:622x390)/cdn.vox-cdn.com/uploads/chorus_image/image/58772853/Screen_Shot_2018_02_21_at_2.16.22_PM.0.png ,How does Bad News work? In this game you take on the role of fake news-monger. Drop all pretense of ethics and choose the path that builds your persona as an unscrupulous media magnate. But keep an eye on your ‘followers’ and ‘credibility’ meters. Your task is to get as many followers as you can while slowly building up fake credibility as a news site. But watch out: you lose if you tell obvious lies or disappoint your supporters! Bad News is a Twine-style game designed by members of the Cambridge Social Decision-Making Lab and media literacy group Drog. 
United States of America,US,Etats-Unis,7,Factitious Game ,Game ,Game ,,,,http://factitious.augamestudio.com/assets/icons/fact2018-errata/workmarkBig.svg ,19/08/18,"Washington, USA ","Game Lab University Washington, d\""apr?s une id?e originale de Maggie Farley Journaliste ",http://factitious.augamestudio.com/#/ ,https://proxy.duckduckgo.com/iur/?f=1&image_host=http%3A%2F%2Fs.newsweek.com%2Fsites%2Fwww.newsweek.com%2Ffiles%2Fstyles%2Fembed-lg%2Fpublic%2F2017%2F07%2F04%2Ffactitious-fake-news-game.jpg&u=https://www.newsweek.com/sites/www.newsweek.com/files/styles/embed-lg/public/2017/07/04/factitious-fake-news-game.jpg ,"The game\""s interface mimics the dating app Tinder, which made swiping famous. On a phone, players swipe left when they think the article in front of them is fake, and right when they believe it\""s real. Depending on how you swipe, Factitious provides feedback. Whether your swipe was correct or incorrect, whether the article cites sources that can be checked, whether the story includes direct quotes from credible sources. Stumped? If so, there is a clue. You can click to reveal the article\""s source. "
Sweden,SE,SuÃ¨de,1,Fakeittomakeitgame ,Game ,Game ,,,,https://www.fakeittomakeitgame.com/images/wide_game_logo.png ,26/03/17,Suede ,Amanda Warner ,https://www.fakeittomakeitgame.com/ ,https://cdn.vox-cdn.com/thumbor/d7GB4mbwEr6OB9K-qAx6kIH8asc=/0x0:1223x582/920x613/filters:focal(303x170:497x364)/cdn.vox-cdn.com/uploads/chorus_image/image/53916251/Screen_Shot_2017_03_27_at_9.33.53_AM.0.png ,"Become advocates in stemming the spread of misinformation Better distinguish between fake and real news stories and identify when parts of a news story are false or misleading Believe that fake news does exist Understand the financial incentives for creating fake news Understand how fake news is written and distributed appeal to specific emotions (fear, anger, etc.) confirmation bias Identify common techniques used when crafting and distributing fake news, including... partial truths misleading specificity "
Canada,CA,Canada,1,Real or Fake ,Game ,Game ,,,,https://kids.nationalgeographic.com/etc/designs/kids/_jcr_content/home/navbar/logo.ngsversion.5bb419dd.img.png/1399495763637.png ,21/02/18,Canada ,National Geographic Kids ,https://kids.nationalgeographic.com/videos/real-or-fake/#real_or_fake__ep_1.mp4 ,https://kids.nationalgeographic.com//content/dam/natgeo/video/mpx/kids/r/re/rea/real-or-fake--ep-1.ngsversion.1538941317586.mp4/jcr:content/renditions/cq5dam.thumbnail.140.100.png ,"Quizz en plein air, pour les enfants. Trouver le vrai du faux. "
Switzerland,CH,Suisse,1,Bad News ,Game ,Game ,,,,https://img.itch.zone/aW1hZ2UyL3VzZXIvNDQ4Njk2Lzk1NTQ4NS5wbmc=/original/pHbr6n.png ,21/02/18,Pays-bas ,Golden Sloth Studio ,https://goldensloth.itch.io/fakenews ,https://img.itch.zone/aW1hZ2UvMjk0NDc1LzE0MzcxMTMucG5n/315x250%23c/JCYCBW.png ,"Vous ?tes un r?dacteur en chef et vous devez trier les news qu\""on vous a donn?. Vous devez vous fier ? votre instinct pour tamponner les articles que vous consid?rez vrai et ceux que vous consid?rez faux. Jeux inspir?e de tout les articles du journal Le Temps qui sont tous impl?menter dans le jeu. "
Mexico,MX,Mexique,3,Video Youtube ,initiative ,initiative ,,,,,28/03/18,Mexico ,"A student movement, #YoSoy132 ",https://www.youtube.com/watch?v=gI6fE75Bnc4 ,https://i.ytimg.com/vi/gI6fE75Bnc4/maxresdefault.jpg ,"A student movement, #YoSoy132, sought to tackle Mexico’s fake news problem. Lou explains its impact, and how politicians and corporate interests have destroyed Mexican media. La corruption des m?dias et le r?le du gouvernement dans les m?dias. "
United States of America,US,Etats-Unis,7,Breaking Game,Game ,Game ,,,,http://www.fakenewsgame.com/content/img/header-fn-logo.png,09/02/17,"New Jersey, USA","Editeur de jeu, https://breakinggames.com/",http://www.fakenewsgame.com/,http://www.fakenewsgame.com/content/img/common-fake-news-game.png," Jeu pour cr?er des fakenews
""In a nod to the past year, where the low faith in Congress is only surpassed by the low faith in news “journalists”, a game that makes light of it all, in a fun and meaningful way is a nod to spring.""
""In the way that the US installs new presidents in Spring, something springy fresh making fun of that is great. Regardless of your politics, which I would argue should be left at the door, this game can be fun for anyone. The sillier the better, and since at least part of it is photo based, even a kid can play, if adults keep it clean."""
United States of America,US,Etats-Unis,7,Play Fake News,Game ,Game ,,,, https://playfakenews.com/static/img/fakenews-logo.e0cd2c012a51.svg, 2017  ,"Washington, USA","Agence web ISL, https://isl.co/team/",https://playfakenews.com/,https://playfakenews.com/static/img/galleryimg3.31e95c5d96ed.jpg,"Fake news is a real problem. Recently, the Pew Research Center found that about two thirds of U.S. adults say completely made-up news causes a great deal of confusion about current events. So we built Fake News!, a simple game to test our collective ability to distinguish between what's true, and what's just been tweeted"
France,FR,France,9,Escape Game Fake News,Game ,Game ,,,,http://www.upmc.fr/skins/UPMC/templates/index/resources/img/upmc-logotype.gif,21/11/17,France ,Licence UPMC,Hellink escape,https://www.studio-m.fr/sites/default/files/inline-images/escape%2010.jpg,"Le mercredi 28 mars, les 8 ?l?ves en jeu vid?o ont ?t? convi?s ? l'escape game Hellink dans le cadre du cours de Game Design. Ainsi, Ma?wenn, Antoine, Yanisse, Christophe, Kimberley, Lenny, Orchid?e et Romain ont d? faire fonctionner leurs m?ninges.
Hellink Escape : l’enfer des fake news, est un outil de formation aux Humanit?s num?riques et ? l’esprit critique. Il permet aux ?tudiants de comprendre les r?gles de base des sciences de l’information et de s’accoutumer ? confronter ses sources… et ? ne pas croire tout ce qu’on lit !
Hier, j'accompagnais les ?tudiants de premi?re ann?e 'Game' de STUDIO M Paris pour jouer ? la Serious Escape Game ""Hellink"", d?velopp?e par Sorbonne Universit?s, qui initie ? la v?rification d'informations contre les ""Fake news"". Mission accomplie : les 10 Fake news ont ?t? d?busqu?es et sourc?es ! Une d?couverte enrichissante suivie d'un cours anim? par Thomas Planques (directeur cr?atif de l'escape) sur le ""jeu engag?"" : d?couverte des enjeux et techniques de conception. Nous nous en servirons aussi pour notre cours prochain sur l'initiation ? la cr?ation d'escape games. Merci ? Sorbonne Universit?s Universit? Pierre et Marie Curie Myriam Gorsse pour l'accueil et la d?couverte !

Le P?le Innovation P?dagogique de la Biblioth?que universitaire Pierre-et-Marie-Curie (BUPMC) vous propose de venir playtester son Serious Escape Game ! 
Mis en place depuis septembre, ""HELLINK ESCAPE - L'enfer des fake news"" s'inscrit dans un programme ludop?dagogique qui met l'innovation au service de l'apprentissage des ?tudiants de Licence. Via ce jeu grandeur nature, les ?tudiants apprennent ? ma?triser les 10 r?gles d'or de l'information et les appliquent ? des cas concrets.
"
